Temps;Postion;Vitesse Moteur;Fréquence aquisition;Temps de simulation;Kp;Ki;Kd;consigne vitesse moteur;consigne vitesse min;consigne vitesse max;Nombre de pallier
0.0;309;0;10;10;0.05;0.03;0.01;30;30;330;2
100.0;298;0
200.0;281;0
300.0;270;0
400.0;268;0
500.0;279;0
600.0;292;0
700.0;303;0
800.0;307;0
900.0;300;0
1000.0;290;0
1100.0;279;0
1200.0;277;0
1300.0;282;0
1400.0;292;0
1500.0;301;0
1600.0;303;0
1700.0;301;0
1800.0;294;0
1900.0;287;0
2000.0;285;0
2100.0;289;0
2200.0;295;0
2300.0;301;0
2400.0;303;0
2500.0;302;0
2600.0;298;0
2700.0;294;0
2800.0;292;0
2900.0;293;0
3000.0;297;0
3100.0;299;0
3200.0;304;0
3300.0;305;0
3400.0;303;0
3500.0;297;0
3600.0;296;0
3700.0;296;0
3800.0;297;0
3900.0;297;0
4000.0;299;0
4100.0;297;0
4200.0;297;0
4300.0;298;0
4400.0;297;0
4500.0;297;0
4600.0;295;0
4700.0;293;0
4800.0;295;0
4900.0;295;0
5000.0;295;0
5100.0;295;0
5200.0;296;0
5300.0;296;0
5400.0;297;0
5500.0;297;0
5600.0;297;0
5700.0;298;0
5800.0;298;0
5900.0;298;0
6000.0;299;0
6100.0;299;0
6200.0;300;0
6300.0;299;0
6400.0;299;0
6500.0;299;0
6600.0;297;0
6700.0;295;0
6800.0;297;0
6900.0;297;0
7000.0;297;0
7100.0;297;0
7200.0;297;0
7300.0;298;0
7400.0;299;0
7500.0;298;0
7600.0;299;0
7700.0;299;0
7800.0;299;0
7900.0;298;0
8000.0;298;0
8100.0;299;0
8200.0;298;0
8300.0;298;0
8400.0;299;0
8500.0;299;0
8600.0;299;0
8700.0;298;0
8800.0;299;0
8900.0;300;0
9000.0;300;0
9100.0;299;0
9200.0;299;0
9300.0;299;0
9400.0;299;0
9500.0;299;0
9600.0;297;0
9700.0;295;0
9800.0;293;0
9900.0;294;0
10000.0;295;0
